[INFO ] 2020-06-02 02:42:51.407  --- orsys.common.Deploy[28] VERTICLE orsys.common.Tools DEPLOYED.
[DEBUG] 2020-06-02 02:42:51.412  --- orsys.common.Deploy[21] STARTING DEPLOYE OF VERTICLE: orsys.common.Files, CONFIG: {}.
[INFO ] 2020-06-02 02:42:51.427  --- orsys.common.Deploy[28] VERTICLE orsys.common.Files DEPLOYED.
[DEBUG] 2020-06-02 02:42:51.428  --- orsys.common.Deploy[21] STARTING DEPLOYE OF VERTICLE: orsys.common.Config, CONFIG: {}.
[INFO ] 2020-06-02 02:42:51.436  --- orsys.common.Deploy[28] VERTICLE orsys.common.Config DEPLOYED.
[DEBUG] 2020-06-02 02:42:51.437  --- orsys.common.Deploy[21] STARTING DEPLOYE OF VERTICLE: Server, CONFIG: {}.
[INFO ] 2020-06-02 02:42:58.752  --- Server[212] Serveur deployed in the port [8083]
[INFO ] 2020-06-02 02:42:58.786  --- orsys.common.Deploy[28] VERTICLE Server DEPLOYED.
[INFO ] 2020-06-02 02:42:58.786  --- orsys.common.Deploy[32] ALL VERTICLES ARE DEPLOYED :).
[INFO ] 2020-06-02 02:43:05.693  --- Server[89] connected to oracle success!!
[INFO ] 2020-06-02 02:44:50.171  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [archives_ids]
[INFO ] 2020-06-02 02:44:50.172  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:44:53.399  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_struArch]
[INFO ] 2020-06-02 02:44:53.400  --- orsys.common.database.DB[129] START CALL TO PROCEDURE OR FUNCTION: [BEGIN web_pkg_router.bootstrap(:req, :res, :error) ; END; ]
[INFO ] 2020-06-02 02:44:53.442  --- orsys.common.HttpApi.CommonHttpCall[117] START CALL TO: [docs_struArch]
